id,name,parent,sort_order
ladingwu327,拉丁舞,xuewudao325,2
jiewu328,街舞,xuewudao325,3
xuefangyan329,学方言,xuexiwangzhan300,12
xuezuocai330,学做菜,xuexiwangzhan300,13
xuebiancheng331,学编程,xuexiwangzhan300,14
xueruanjian332,学软件,xuexiwangzhan300,15
gushiciwenyanwen333,古诗词／文言文,xuexiwangzhan300,16
shiyongdaohang334,实用导航,,12
sheji335,设计,shiyongdaohang334,1
yingshi336,影视,shiyongdaohang334,2
xueshu337,学术,shiyongdaohang334,3
dashuju338,大数据,shiyongdaohang334,4
zimeiti339,自媒体,shiyongdaohang334,5
shejiyingshihouqi340,设计／影视后期,,13
AEmubanPRmuban341,AE模板／PR模板,shejiyingshihouqi340,1
PSchajianPRchajianAEchajian342,PS插件／PR插件／AE插件,shejiyingshihouqi340,2
mianfeiPSDmuban343,免费PSD模板,shejiyingshihouqi340,3
mianfeikeshangyongtupian344,免费可商用图片,shejiyingshihouqi340,4
mianfeikeshangyongtubiao345,免费可商用图标,shejiyingshihouqi340,5
mianfeikeshangyong3Dsucai346,免费可商用3D素材,shejiyingshihouqi340,6
mianfeikeshangyongziti347,免费可商用字体,shejiyingshihouqi340,7
mianfeikeshangyongshipinsucai348,免费可商用视频素材,shejiyingshihouqi340,8
mianfeikeshangyongBGMbeijingyi349,免费可商用BGM背景音乐,shejiyingshihouqi340,9
haoyongdeyinxiaosucaiku350,好用的音效素材库,shejiyingshihouqi340,10
jianbianpeise351,渐变／配色,shejiyingshihouqi340,11
Logosheji352,Logo设计,shejiyingshihouqi340,12
gezhongfenggetupianzaixianhuiz353,各种风格图片在线绘制／生成,shejiyingshihouqi340,13
mianfeizaixianyijiankoutu354,免费在线一键抠图,shejiyingshihouqi340,14
kaozhengkaojidengziyuan355,考证／考级等资源,,14
gongwuyuan356,公务员,kaozhengkaojidengziyuan355,1
linxuan357,遴选,gongwuyuan356,1
shiyedanwei358,事业单位,gongwuyuan356,2
mianshi359,面试,gongwuyuan356,3
sanzhiyifu360,三支一扶,gongwuyuan356,4
gongchengshi361,工程师,kaozhengkaojidengziyuan355,2
jianzaogongchengshi362,建造工程师,gongchengshi361,1
zaojiagongchengshi363,造价工程师,gongchengshi361,2
shebeigongchengshi364,设备工程师,gongchengshi361,3
anquangongchengshi365,安全工程师,gongchengshi361,4
daolugongchengshi366,道路工程师,gongchengshi361,5
dianqigongchengshi367,电气工程师,gongchengshi361,6
jianligongchengshi368,监理工程师,gongchengshi361,7
xinxianquangongchengshi369,信息安全工程师,gongchengshi361,8
huanjingpingjiagongchengshi370,环境评价工程师,gongchengshi361,9
zixungongchengshi371,咨询工程师,gongchengshi361,10
jiegougongchengshi372,结构工程师,gongchengshi361,11
kuaijishijingjishishuiwushi373,会计师／经济师／税务师,kaozhengkaojidengziyuan355,3
jiaoshizigezhengjiaoshizhaopin374,教师资格证／教师招聘,kaozhengkaojidengziyuan355,4
kaoyan375,考研,kaozhengkaojidengziyuan355,5
yingyusiliuji376,英语四六级,kaozhengkaojidengziyuan355,6
yingyuzhuansizhuanba377,英语专四专八,kaozhengkaojidengziyuan355,7
jisuanji378,计算机,kaozhengkaojidengziyuan355,8
sifakaoshifashuo379,司法考试／法硕,kaozhengkaojidengziyuan355,9
junduiwenzhi380,军队文职,kaozhengkaojidengziyuan355,10
zhuanshengbenzhuanjiebengaoqiz381,专升本／专接本／高起专／高升专,kaozhengkaojidengziyuan355,11
qitakecheng382,其他课程,kaozhengkaojidengziyuan355,12
PPTmuban383,PPT模板,kaozhengkaojidengziyuan355,13
dianzishu384,电子书,kaozhengkaojidengziyuan355,14
qita385,其他,kaozhengkaojidengziyuan355,15
